2	啊,阿,腌,呵,吖,嗄,锕
22	啊啊,吧,把,八,爸,擦,巴,罢
222	啊啊啊,阿爸,阿坝
2222	爸爸,擦擦,粑粑,嚓嚓,八八,叭叭,八把,巴巴
222222	叭叭叭,阿巴阿巴
2222234	爸爸被
22222482633	爸爸穿的
2222326934	爸爸单位
2222329426	爸爸发现
222233	爸爸的
22223733	巴巴儿地
222238674	巴巴多斯
22224	八百,把菜,捌佰,八拜
22224226	八佰伴
2222434	爸爸给
2222448426	八百孤寒
2222454	八百里
22224546	八百斤
222245474624826	八百里秦川
2222464	八百米
222246426	八百年
22224826	把把关
2222484	爸爸会
22224926	八百万
222249445426	八拜之交
222249826	八百元
222252	芭芭拉
2222526526	爸爸看看
22225265426	爸爸看见
2222543543	巴巴结结
222254874474	八八六十四
22226	拔草,八版,八宝,八班
222262	爸爸那
22226224	八宝菜
22226262	爸爸妈妈
2222626233	爸爸妈妈的
22226326	八宝饭
2222633	八班的
22226364	爸爸能
22226426	八八年
222267426	八宝山
2222694264	八宝箱
222269468	八宝粥
2222744	爸爸是
2222746854	爸爸手里
2222746894664	爸爸手中
22227486	爸爸说
2222748653	爸爸说了
222284645426	爸爸听见
2222924	爸爸在
2222936	爸爸问
2222944326	爸爸知道
2222949264	爸爸一样
2223	八册
22234	擦背,八倍
22234548	八杯酒
2223474264	把悲伤
2223494	八辈子
222357726	Babelspan.com
222364	八层
222364568	八层楼
222369426	把本站
2224	八次,把爱,芭比,罢笔,擦笔,把此
222426	擦边,靶标,罢朝,八表,八遍
2224264	靶场,八场,八厂
222426746	把产品
222426748	擦边球
2224269464	八边形
2224274	阿巴嘎旗
22242868	拔插头
22243	把车,扒车
22243326	八车道
2224336	把比分
2224364	八成
222436437	八成儿
2224364744	八成是
2224364946	八成新
222436498	把程序
22243736	把别人
2224373633	把别人的
222438464924	把车停在
222438464942	把车停下
222438464948	把车停住
22244	把持,八尺,罢斥
22244283464	把持不定
2224428948	把持不住
222443546	巴比合金
22244943	把持着
22244948	把持住
2224586	巴比伦
222464	把柄,罢兵
222464944426	把病治好
2224724	把比赛
22248	拔出,拔除,罢黜,擦出,擦除
22248224542	罢黜百家
222482433	擦出爱的
2224826437	礤床儿
2224826474264	把床上
22248268664	把传统
222483264	把厨房
22248486482	擦出火花
22248524	拔出来
222485426	把触角
2224874264	拔出枪
2224886	巴比妥
22249292	芭比娃娃
22252	阿巴拉
2226	阿宝
222654	擦玻璃
222664	把从
222672	巴博萨
22267826	把安全
22274	阿巴斯
2228	八部,巴布,八步,拔步,擦布
2228248	拔不出
2228248524	拔不出来
2228248884	拔不出腿
222833	巴不得
2228336	把部分
22283426	擦不掉
2228368	巴布豆
22286	八寸
222892	巴布亚
